index,id,from,to,freespeed,capacity,permlanes,oneway,modes,s2_from,s2_to,attributes,length,geometry,u,v
2521,2521,107867,1145116925,6.944444444444445,600.0,1.0,1,{'car'},5221390747166485757,5221390747092760739,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 84697865.0, 'osm:way:name': 'Sidmouth Street'}",38.23897334231137,emoiwyaB_{|_k_a@zms~ErccaA,107867,1145116925
2466,2466,107869,107870,4.166666666666667,1200.0,2.0,1,{'car'},5221390746710455667,5221390752028605679,"{'osm:way:highway': 'residential', 'osm:way:id': 724460083.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harrison Street'}",159.24385980503467,syao|xaBoj`qs_a@lpla\~e{sG,107869,107870
3096,3096,107869,25500410,4.166666666666667,1200.0,2.0,1,{'car'},5221390746710455667,5221390746942021017,"{'osm:way:highway': 'residential', 'osm:way:id': 4255962.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harrison Street'}",115.52831942096476,syao|xaBoj`qs_a@sabfTuoy|D,107869,25500410
1331,1331,107870,107871,4.166666666666667,600.0,1.0,1,{'car'},5221390752028605679,5221390751833464881,"{'osm:way:highway': 'residential', 'osm:way:id': 207106607.0, 'osm:way:name': 'Harrison Street'}",48.06436745056875,ehtl_xaBocd|j_a@`jxzA_q|sG,107870,107871
2467,2467,107870,107869,4.166666666666667,1200.0,2.0,1,{'car'},5221390752028605679,5221390746710455667,"{'osm:way:highway': 'residential', 'osm:way:id': 724460083.0, 'osm:way:lanes': '2', 'osm:way:name': 'Harrison Street'}",159.24385980503467,ehtl_xaBocd|j_a@mpla\_f{sG,107870,107869
1332,1332,107871,107870,4.166666666666667,600.0,1.0,1,{'car'},5221390751833464881,5221390752028605679,"{'osm:way:highway': 'residential', 'osm:way:id': 207106607.0, 'osm:way:name': 'Harrison Street'}",48.06436745056875,c}zp|waBouaqs_a@ajxzA~p|sG,107871,107870
3088,3088,107871,107882,4.166666666666667,600.0,1.0,1,{'car'},5221390751833464881,5221390752216925745,"{'osm:way:highway': 'unclassified', 'osm:way:id': 4255963.0, 'osm:way:name': 'Cromer Street'}",19.861992865179385,c}zp|waBouaqs_a@q`_tBykv^,107871,107882
1488,1488,107872,4870807518,4.166666666666667,600.0,1.0,1,{'car'},5221390752084435951,5221390753540747431,"{'osm:way:highway': 'residential', 'osm:way:id': 303559642.0, 'osm:way:name': 'Regent Square', 'osm:way:oneway': 'yes'}",45.921535432270105,{qqbdxaByjkid_a@}mlbBny`eG,107872,4870807518
1898,1898,107873,107876,6.944444444444445,600.0,1.0,1,{'car'},5221390753539358833,5221390752997180353,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 17926243.0, 'osm:way:name': 'Regent Square'}",82.48305121985649,qy|qgxaBg}}b{~`@{{v|Mcnw}C,107873,107876
679,679,107873,110267,6.944444444444445,600.0,1.0,1,{'car'},5221390753539358833,5221390753663773193,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 74863209.0, 'osm:way:name': 'Tavistock Place'}",55.545918691533046,qy|qgxaBg}}b{~`@d~kzHxbb{B,107873,110267
2534,2534,107875,107872,4.166666666666667,600.0,1.0,1,{'car'},5221390752573585781,5221390752084435951,"{'osm:way:highway': 'residential', 'osm:way:id': 495298306.0, 'osm:way:name': 'Regent Square', 'osm:way:oneway': 'yes'}",80.04634818280411,okpvrxaBwmwuh_a@rx}rM|akkC,107875,107872
1177,1177,107876,4870807519,4.166666666666667,600.0,1.0,1,{'car'},5221390752997180353,5221390752665721881,"{'osm:way:highway': 'residential', 'osm:way:id': 3098816.0, 'osm:way:name': 'Regent Square', 'osm:way:oneway': 'yes'}",6.8485913408327646,mvtovxaBklva`_a@hcxOa`he@,107876,4870807519
1897,1897,107876,107873,6.944444444444445,600.0,1.0,1,{'car'},5221390752997180353,5221390753539358833,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 17926243.0, 'osm:way:name': 'Regent Square'}",82.48305121985649,mvtovxaBklva`_a@z{v|Mbnw}C,107876,107873
2603,2603,107876,5184854306,6.944444444444445,600.0,1.0,1,{'car'},5221390752997180353,5221390752654921047,"{'osm:relation:route': 'bicycle', 'osm:way:highway': 'tertiary', 'osm:way:id': 3100051.0, 'osm:way:name': 'Sidmouth Street'}",19.824290235031363,mvtovxaBklva`_a@gtroBqcgk@,107876,5184854306
